cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
AB:1,AB,1,27265,2265,-1330,-1330,2265,15.1,285,238,80,2207709
AB:2,AB,2,27439,2439,-932,-956,2439,16.9,297,234,84,2380403
AB:3,AB,3,26983,1983,-1582,-1597,1983,14.6,298,248,88,2627321
AB:4,AB,4,27701,2701,-1067,-1069,2701,15.6,301,234,92,2456554
AB:5,AB,5,27643,2643,-944,-940,2643,14.4,299,242,76,1863448
ABa:6,ABa,6,27665,2665,-637,-708,2657,12.7,273,252,50,1998603
ABa:7,ABa,7,28049,3049,-285,-326,2990,14.5,265,249,55,665648
ABa:8,ABa,8,28350,3350,-356,-398,3350,15.4,275,257,66,665648
ABa:9,ABa,9,27778,2778,-981,-1057,2778,16.2,286,265,77,1348101
ABa:10,ABa,10,27767,2767,-931,-1004,2767,16.9,271,280,77,1552007
ABa:11,ABa,11,27479,2479,-1464,-1477,2476,16.5,250,281,79,1820778
ABa:12,ABa,12,27341,2341,-1380,-1402,2341,16.2,235,276,73,1589043
ABa:13,ABa,13,27152,2152,-1551,-1559,2152,17.2,216,279,71,1625852
ABa:14,ABa,14,27411,2411,-1093,-1117,2411,18.2,192,271,68,1561174
ABa:15,ABa,15,27379,2379,-981,-1009,2379,17.2,191,252,67,1604507
ABa:16,ABa,16,26944,1944,-1565,-1578,1940,15.1,221,231,68,1798536
ABa:17,ABa,17,27308,2308,-1146,-1126,2308,15.2,229,208,69,1848550
ABa:18,ABa,18,27109,2109,-1595,-1593,2105,15.1,226,205,75,2078057
ABa:19,ABa,19,27126,2126,-1445,-1417,2121,16.5,241,210,75,2040192
ABa:20,ABa,20,27866,2866,-1021,-1025,2605,15.9,246,197,77,2147491
ABal:21,ABal,21,28387,3387,-880,-998,3272,13.3,247,222,81,1965557
ABal:22,ABal,22,28879,3879,-449,-509,3711,13.4,232,235,88,2263581
ABal:23,ABal,23,28463,3463,-721,-766,3392,14.0,238,252,82,2065876
ABal:24,ABal,24,27886,2886,-1555,-1564,2886,14.8,217,290,78,1872506
ABal:25,ABal,25,27836,2836,-1456,-1456,2836,12.7,205,305,77,1900470
ABal:26,ABal,26,27335,2335,-1591,-1581,2335,12.1,166,294,77,2140229
ABal:27,ABal,27,27349,2349,-1514,-1552,2349,12.8,154,271,77,2416332
ABal:28,ABal,28,27266,2266,-1900,-1926,2266,11.7,162,263,77,2558298
ABal:29,ABal,29,27414,2414,-1686,-1736,2414,13.3,165,274,79,3113063
ABal:30,ABal,30,27454,2454,-1385,-1436,2454,14.7,155,280,79,3486413
ABal:31,ABal,31,27027,2027,-2167,-2201,2027,15.0,163,272,83,4230237
ABal:32,ABal,32,27144,2144,-1888,-1951,2144,16.1,158,271,86,4931439
ABal:33,ABal,33,27382,2382,-1734,-1736,2382,17.1,167,286,88,5429559
ABal:34,ABal,34,27792,2792,-1340,-1320,2792,18.1,178,287,86,2736960
ABal:35,ABal,35,27925,2925,-1267,-1247,2925,20.0,202,275,79,2184812
ABal:36,ABal,36,27900,2900,-1190,-1273,2900,19.9,202,273,52,681817
ABala:37,ABala,37,28319,3319,-682,-739,3272,15.9,176,206,52,748880
ABala:38,ABala,38,27804,2804,-1097,-1116,2804,16.2,166,216,56,833905
ABala:39,ABala,39,27796,2796,-1475,-1347,2796,18.1,162,219,72,1480779
ABala:40,ABala,40,28402,3402,-540,-524,3402,20.9,148,229,71,1534777
ABala:41,ABala,41,28012,3012,-841,-831,3012,20.8,148,236,69,1576816
ABala:42,ABala,42,28075,3075,-841,-889,3066,20.0,141,235,68,1816586
ABala:43,ABala,43,27461,2461,-1507,-1482,2453,19.9,148,226,68,1915497
ABala:44,ABala,44,27721,2721,-1178,-1202,2715,19.9,140,225,67,1920881
ABala:45,ABala,45,27486,2486,-1481,-1536,2483,18.2,142,217,70,2471430
ABala:46,ABala,46,27826,2826,-1382,-1393,2822,18.3,144,214,71,2604986
ABala:47,ABala,47,27838,2838,-1366,-1380,2836,18.0,143,215,67,2267906
ABala:48,ABala,48,27665,2665,-1269,-1296,2634,17.2,136,217,72,3018215
ABala:49,ABala,49,27359,2359,-1500,-1488,2358,17.3,134,202,71,2849426
ABala:50,ABala,50,27271,2271,-1853,-1853,2269,17.3,146,202,72,3036754
ABala:51,ABala,51,27850,2850,-1416,-1409,2850,18.1,157,201,73,3025938
ABala:52,ABala,52,27334,2334,-1845,-1812,2330,18.2,159,200,73,2986579
ABala:53,ABala,53,27537,2537,-1608,-1560,2529,19.9,162,203,70,1854598
ABala:54,ABala,54,27792,2792,-1254,-1246,2785,19.0,164,203,64,1488467
ABalaa:55,ABalaa,55,28181,3181,-647,-648,3180,21.1,138,217,60,1057685
ABalaa:56,ABalaa,56,29137,4137,342,335,4134,20.7,133,214,58,957030
ABalaa:57,ABalaa,57,28553,3553,-685,-686,3552,20.0,137,216,59,969984
ABalaa:58,ABalaa,58,27839,2839,-992,-961,2801,20.0,127,217,57,1021144
ABalaa:59,ABalaa,59,27734,2734,-1000,-1012,2710,19.9,125,219,58,1167075
ABalaa:60,ABalaa,60,28461,3461,-336,-298,3350,20.9,127,228,58,1249861
ABalaa:61,ABalaa,61,28190,3190,-846,-842,3180,20.3,135,228,61,1377988
ABalaa:62,ABalaa,62,27736,2736,-1212,-1212,2735,21.9,143,230,59,1332368
ABalaa:63,ABalaa,63,27610,2610,-1224,-1224,2610,22.0,146,223,61,1489615
ABalaa:64,ABalaa,64,28097,3097,-1042,-1042,3097,21.2,143,219,60,1596514
ABalaa:65,ABalaa,65,28001,3001,-1134,-1134,3000,21.0,139,223,58,1519711
ABalaa:66,ABalaa,66,27959,2959,-1016,-1016,2959,21.1,143,223,61,1627385
ABalaa:67,ABalaa,67,28262,3262,-802,-802,3262,21.8,142,218,59,1513475
ABalaa:68,ABalaa,68,27666,2666,-1612,-1612,2666,21.7,143,217,60,1663672
ABalaa:69,ABalaa,69,28142,3142,-1032,-1032,3142,21.7,139,228,60,1705692
ABalaa:70,ABalaa,70,27635,2635,-1377,-1377,2635,21.8,140,229,60,1658804
ABalaa:71,ABalaa,71,28171,3171,-800,-800,3171,21.8,143,233,60,1721586
ABalaa:72,ABalaa,72,28019,3019,-882,-896,3019,21.0,149,228,62,1696194
ABalaa:73,ABalaa,73,27753,2753,-1253,-1253,2753,20.9,142,221,60,1637474
ABalaa:74,ABalaa,74,28106,3106,-616,-616,3105,21.1,144,223,61,1538677
ABalaa:75,ABalaa,75,27458,2458,-1310,-1301,2458,20.3,140,210,63,1665402
ABalaa:76,ABalaa,76,27752,2752,-1142,-1142,2752,20.7,141,207,60,1625690
ABalaa:77,ABalaa,77,27749,2749,-1051,-1051,2749,20.8,143,204,60,1607458
ABalaa:78,ABalaa,78,27315,2315,-1832,-1832,2315,20.0,150,192,61,1603413
ABalaa:79,ABalaa,79,28013,3013,-853,-853,3013,20.8,146,190,59,1088377
ABalaaa:80,ABalaaa,80,28092,3092,-543,-573,3087,18.3,142,195,53,616002
ABalaaa:81,ABalaaa,81,28100,3100,-427,-427,3097,18.0,128,204,50,629320
ABalaaa:82,ABalaaa,82,28099,3099,-952,-948,3094,18.2,132,207,49,608324
ABalaaa:83,ABalaaa,83,27680,2680,-1073,-1141,2624,18.0,124,214,49,612070
ABalaaa:84,ABalaaa,84,27426,2426,-1273,-1315,2426,17.0,121,205,49,661694
ABalaaa:85,ABalaaa,85,27521,2521,-1265,-1288,2514,18.1,122,203,49,687775
ABalaaa:86,ABalaaa,86,27594,2594,-1271,-1284,2588,18.2,123,200,51,772260
ABalaaa:87,ABalaaa,87,27932,2932,-689,-696,2928,18.1,123,205,49,777170
ABalaaa:88,ABalaaa,88,27515,2515,-1209,-1210,2509,18.1,120,203,50,878876
ABalaaa:89,ABalaaa,89,28165,3165,-606,-606,3162,18.9,121,202,47,710353
ABalaaa:90,ABalaaa,90,27615,2615,-979,-984,2615,18.0,119,205,50,907483
ABalaaa:91,ABalaaa,91,27647,2647,-1063,-1063,2644,18.0,120,200,48,793859
ABalaaa:92,ABalaaa,92,27854,2854,-962,-962,2849,18.1,125,205,50,906451
ABalaaa:93,ABalaaa,93,27443,2443,-1790,-1790,2443,18.0,126,198,48,857386
ABalaaa:94,ABalaaa,94,27812,2812,-1079,-1079,2812,17.9,124,194,49,842797
ABalaaa:95,ABalaaa,95,27569,2569,-1487,-1474,2565,17.2,126,202,50,927293
ABalaaa:96,ABalaaa,96,27254,2254,-1760,-1760,2253,18.0,129,198,50,945823
ABalaaa:97,ABalaaa,97,27680,2680,-709,-740,2673,16.4,122,201,52,984939
ABalaaa:98,ABalaaa,98,28070,3070,-500,-502,3068,17.0,124,197,50,958962
ABalaaa:99,ABalaaa,99,27892,2892,-1118,-1101,2891,17.2,126,197,50,943451
ABalaaa:100,ABalaaa,100,27286,2286,-1404,-1407,2285,18.1,127,197,52,1049426
ABalaaa:101,ABalaaa,101,27386,2386,-1283,-1286,2386,18.2,131,199,50,921563
ABalaaa:102,ABalaaa,102,28050,3050,-513,-520,3043,17.4,126,204,51,860958
ABalaaa:103,ABalaaa,103,27850,2850,-824,-798,2847,18.0,128,199,52,1029003
ABalaaa:104,ABalaaa,104,27411,2411,-1118,-1118,2410,18.1,129,200,52,1028916
ABalaaa:105,ABalaaa,105,28371,3371,-558,-557,3368,18.2,132,206,49,829631
ABalaaa:106,ABalaaa,106,27690,2690,-790,-790,2689,18.3,134,206,49,813255
ABalaaa:107,ABalaaa,107,26998,1998,-1722,-1722,1992,19.0,131,222,46,763061
ABalaaa:108,ABalaaa,108,27698,2698,-1129,-1184,2651,17.2,137,231,43,495404
ABalaaa:109,ABalaaa,109,27504,2504,-1029,-1029,2496,19.1,137,218,39,418818
ABalaaaa:110,ABalaaaa,110,27927,2927,-441,-441,2835,19.0,125,220,36,346062
ABalaaaa:111,ABalaaaa,111,27668,2668,-940,-884,2528,18.1,116,219,38,367577
ABalaaaa:112,ABalaaaa,112,27661,2661,-732,-740,2617,17.9,116,210,40,309621
ABalaaaa:113,ABalaaaa,113,27769,2769,-299,-300,2723,18.0,114,207,40,318610
ABalaaaa:114,ABalaaaa,114,27390,2390,-766,-697,2357,16.0,112,201,40,345425
ABalaaaa:115,ABalaaaa,115,27155,2155,-932,-928,2145,18.0,113,198,40,333668
ABalaaaa:116,ABalaaaa,116,27143,2143,-892,-892,2137,17.9,113,195,40,342816
ABalaaaa:117,ABalaaaa,117,26980,1980,-1129,-1129,1958,17.0,123,170,40,367522
ABalaaaa:118,ABalaaaa,118,27899,2899,-269,-265,2880,17.2,125,170,42,396206
ABalaaaa:119,ABalaaaa,119,27420,2420,-850,-846,2413,18.0,128,168,40,365506
ABalaaaa:120,ABalaaaa,120,26977,1977,-1028,-1028,1970,19.0,130,170,40,375680
ABalaaaa:121,ABalaaaa,121,27927,2927,-452,-455,2909,19.0,134,169,40,363267
ABalaaaa:122,ABalaaaa,122,27655,2655,-590,-590,2568,18.1,141,160,42,398511
ABalaaaa:123,ABalaaaa,123,26812,1812,-1356,-1313,1803,20.0,146,160,41,381963
ABalaaaa:124,ABalaaaa,124,28002,3002,-298,-312,2978,20.1,148,161,42,401423
ABalaaaa:125,ABalaaaa,125,27227,2227,-1159,-1173,2202,20.0,138,172,42,381112
ABalaaaa:126,ABalaaaa,126,28006,3006,-301,-347,2944,19.1,140,178,42,377141
ABalaaaa:127,ABalaaaa,127,27239,2239,-1053,-1075,2197,19.0,136,174,42,430494
ABalaaaa:128,ABalaaaa,128,27665,2665,-621,-619,2636,18.0,133,172,42,430325
ABalaaaa:129,ABalaaaa,129,27718,2718,-680,-676,2678,18.0,134,183,42,445184
ABalaaaa:130,ABalaaaa,130,27864,2864,-561,-514,2838,18.0,140,184,42,456549
ABalaaaa:131,ABalaaaa,131,27298,2298,-915,-823,2135,17.2,148,170,44,473011
ABalaaaa:132,ABalaaaa,132,27471,2471,-833,-894,2332,17.0,141,183,43,493999
ABalaaaa:133,ABalaaaa,133,27843,2843,-923,-1042,2724,16.1,142,181,45,500905
ABalaaaa:134,ABalaaaa,134,27666,2666,-692,-750,2550,15.9,145,178,43,503639
ABalaaaa:135,ABalaaaa,135,27086,2086,-1161,-1222,1953,14.9,145,176,43,508280
ABalaaaa:136,ABalaaaa,136,27800,2800,-390,-459,2742,13.2,150,167,45,540752
ABalaaaa:137,ABalaaaa,137,27251,2251,-1136,-1108,2071,12.3,150,168,45,548161
ABalaaaa:138,ABalaaaa,138,27271,2271,-1130,-1156,2158,12.2,144,178,45,555119
ABalaaaa:139,ABalaaaa,139,26757,1757,-1434,-1565,1637,13.1,132,182,45,593688
ABalaaaa:140,ABalaaaa,140,27431,2431,-1106,-1238,2283,13.1,134,188,44,587375
ABalaaaa:141,ABalaaaa,141,28092,3092,-194,-269,2925,13.3,129,198,42,529190
ABalaaaa:142,ABalaaaa,142,27629,2629,-928,-963,2480,13.2,122,194,41,421432
ABalaaaa:143,ABalaaaa,143,27444,2444,-1007,-987,2325,14.1,128,195,40,442203
ABalaaaa:144,ABalaaaa,144,27116,2116,-1728,-1787,1829,15.0,125,189,39,436656
ABalaaaa:145,ABalaaaa,145,26955,1955,-1693,-1733,1487,15.1,129,190,39,426836
ABalaaaa:146,ABalaaaa,146,27301,2301,-1551,-1648,1517,15.0,133,198,39,441961
ABalaaaa:147,ABalaaaa,147,27855,2855,-847,-897,2548,14.2,138,204,37,399733
ABalaaaal:148,ABalaaaal,148,28004,3004,-414,-354,2822,12.8,144,215,35,256879
ABalaaaal:149,ABalaaaal,149,27831,2831,-684,-688,2439,12.9,146,232,36,301930
ABalaaaal:150,ABalaaaal,150,28235,3235,-507,-509,2842,13.9,151,237,36,303435
ABalaaaal:151,ABalaaaal,151,27966,2966,-505,-515,2763,14.1,146,244,36,305340
ABalaaaal:152,ABalaaaal,152,27850,2850,-637,-671,2403,15.0,153,257,38,341797
ABalaaaal:153,ABalaaaal,153,28640,3640,220,115,3151,14.9,149,256,36,323761
ABalaaaal:154,ABalaaaal,154,28049,3049,-432,-536,2743,15.1,141,251,38,363986
ABalaaaal:155,ABalaaaal,155,28294,3294,-234,-185,3108,15.1,143,249,38,357773
ABalaaaal:156,ABalaaaal,156,27658,2658,-1169,-1243,2412,15.9,139,248,36,330561
ABalaaaal:157,ABalaaaal,157,28436,3436,-375,-435,3178,16.2,145,253,36,345797
ABalaaaal:158,ABalaaaal,158,28228,3228,-8,-59,3017,16.9,145,256,36,335798
ABalaaaal:159,ABalaaaal,159,28178,3178,36,-3,2936,15.3,138,252,38,348154
ABalaaaal:160,ABalaaaal,160,27513,2513,-950,-1003,2287,16.0,141,243,36,358892
ABalaaaar:148,ABalaaaar,148,28820,3820,348,243,3112,16.2,145,168,37,331720
ABalaaaar:149,ABalaaaar,149,28809,3809,506,399,3095,16.0,141,176,36,340642
ABalaaaar:150,ABalaaaar,150,27957,2957,-731,-760,1969,16.1,132,181,36,338713
ABalaaaar:151,ABalaaaar,151,27514,2514,-950,-920,2264,17.9,129,190,36,328065
ABalaaaar:152,ABalaaaar,152,28335,3335,245,231,2850,18.0,129,204,36,335256
ABalaaaar:153,ABalaaaar,153,28236,3236,-210,-181,2491,18.1,127,199,36,339798
ABalaaaar:154,ABalaaaar,154,28085,3085,-405,-446,2299,18.0,127,201,36,339061
ABalaaaar:155,ABalaaaar,155,27721,2721,-649,-794,1847,18.0,131,200,36,349845
ABalaaaar:156,ABalaaaar,156,27803,2803,-719,-696,1823,18.0,137,200,38,407443
ABalaaaar:157,ABalaaaar,157,28263,3263,54,-13,2720,18.1,137,202,38,392651
ABalaaaar:158,ABalaaaar,158,27860,2860,-609,-677,2275,18.2,138,209,38,371748
ABalaaaar:159,ABalaaaar,159,27942,2942,-561,-551,2280,19.0,133,211,36,382666
ABalaaaar:160,ABalaaaar,160,28044,3044,-504,-655,2145,19.0,137,206,36,369177
ABalaaap:110,ABalaaap,110,27910,2910,-902,-902,2812,15.3,166,217,36,310935
ABalaaap:111,ABalaaap,111,27858,2858,-788,-790,2689,15.2,173,213,36,319799
ABalaaap:112,ABalaaap,112,28489,3489,-85,-102,3437,15.9,172,207,40,308183
ABalaaap:113,ABalaaap,113,28431,3431,-378,-411,3337,15.0,171,203,40,341066
ABalaaap:114,ABalaaap,114,28087,3087,-638,-670,3028,15.0,182,189,40,331337
ABalaaap:115,ABalaaap,115,27973,2973,-1227,-1220,2930,15.1,183,196,42,362002
ABalaaap:116,ABalaaap,116,27864,2864,-1061,-1078,2797,14.4,181,202,42,314294
ABalaaap:117,ABalaaap,117,27581,2581,-1301,-1349,2517,15.0,184,197,42,355695
ABalaaap:118,ABalaaap,118,27543,2543,-1210,-1319,2513,16.0,182,191,42,378190
ABalaaap:119,ABalaaap,119,27869,2869,-722,-829,2748,16.0,178,192,44,417801
ABalaaap:120,ABalaaap,120,27902,2902,-745,-879,2808,16.0,183,193,42,391974
ABalaaap:121,ABalaaap,121,27845,2845,-727,-782,2752,15.2,180,198,44,383425
ABalaaap:122,ABalaaap,122,27433,2433,-1568,-1694,2281,15.1,183,194,42,380378
ABalaaap:123,ABalaaap,123,28001,3001,-616,-753,2930,15.2,183,193,43,368402
ABalaaap:124,ABalaaap,124,27906,2906,-987,-1038,2841,15.2,177,189,44,433652
ABalaaap:125,ABalaaap,125,27619,2619,-1503,-1581,2286,15.2,171,187,44,432744
ABalaaap:126,ABalaaap,126,27452,2452,-1234,-1269,2315,15.2,168,198,44,428195
ABalaaap:127,ABalaaap,127,27488,2488,-1215,-1273,2344,15.1,163,198,44,467728
ABalaaap:128,ABalaaap,128,27942,2942,-780,-786,2758,15.0,170,198,42,405084
ABalaaap:129,ABalaaap,129,27834,2834,-568,-598,2658,15.1,172,189,42,421663
ABalaaap:130,ABalaaap,130,27492,2492,-852,-835,2401,14.2,177,174,44,480439
ABalaaap:131,ABalaaap,131,28785,3785,196,114,3683,14.1,183,167,44,475128
ABalaaap:132,ABalaaap,132,27436,2436,-1054,-1152,2353,14.0,177,176,43,460963
ABalaaap:133,ABalaaap,133,27602,2602,-1094,-1173,2410,13.2,176,173,45,541600
ABalaaap:134,ABalaaap,134,27175,2175,-1377,-1425,2046,12.2,181,172,43,477101
ABalaaap:135,ABalaaap,135,27018,2018,-1196,-1236,1981,12.2,187,165,45,513559
ABalaaap:136,ABalaaap,136,27851,2851,-780,-871,2781,11.9,192,159,43,475270
ABalaaap:137,ABalaaap,137,27952,2952,-788,-958,2849,10.0,182,158,45,560609
ABalaaap:138,ABalaaap,138,27744,2744,-642,-811,2629,11.1,179,163,43,492837
ABalaaap:139,ABalaaap,139,26896,1896,-1593,-1723,1868,11.1,170,168,43,489888
ABalaaap:140,ABalaaap,140,27276,2276,-1436,-1496,2238,10.1,165,166,42,514737
ABalaaap:141,ABalaaap,141,27591,2591,-1156,-1193,2516,10.2,159,174,42,503403
ABalaaap:142,ABalaaap,142,27582,2582,-1499,-1578,2534,11.2,162,174,41,388079
ABalaaap:143,ABalaaap,143,27655,2655,-1456,-1503,2613,11.2,166,173,40,410249
ABalaaap:144,ABalaaap,144,28033,3033,-838,-836,2931,12.0,169,174,35,300997
ABalaaapa:145,ABalaaapa,145,28488,3488,-122,-241,3325,12.0,149,169,35,259691
ABalaaapa:146,ABalaaapa,146,28456,3456,-494,-613,3312,11.8,147,178,35,259326
ABalaaapa:147,ABalaaapa,147,28139,3139,-552,-554,3082,10.0,153,173,35,260364
ABalaaapa:148,ABalaaapa,148,27969,2969,-583,-596,2762,11.1,159,175,37,318960
ABalaaapa:149,ABalaaapa,149,28483,3483,-219,-172,3254,11.1,149,189,36,319341
ABalaaapa:150,ABalaaapa,150,28629,3629,-99,-40,3342,12.0,148,190,36,324035
ABalaaapa:151,ABalaaapa,151,26931,1931,-1723,-1730,1794,12.1,147,198,36,325321
ABalaaapa:152,ABalaaapa,152,28457,3457,-115,-125,3270,13.0,145,209,36,325340
ABalaaapa:153,ABalaaapa,153,28226,3226,-905,-932,2934,13.9,141,200,36,329167
ABalaaapa:154,ABalaaapa,154,28112,3112,-325,-376,2740,13.9,136,205,36,342630
ABalaaapa:155,ABalaaapa,155,27663,2663,-970,-964,2237,13.9,133,205,36,340018
ABalaaapa:156,ABalaaapa,156,27943,2943,-719,-760,2613,13.9,134,207,36,354341
ABalaaapa:157,ABalaaapa,157,27460,2460,-1071,-1056,2051,13.9,134,218,36,360659
ABalaaapa:158,ABalaaapa,158,27593,2593,-893,-915,2263,13.9,134,221,36,360497
ABalaaapa:159,ABalaaapa,159,27983,2983,-571,-595,2602,14.1,134,215,38,418872
ABalaaapa:160,ABalaaapa,160,28266,3266,-364,-430,2956,14.3,139,202,38,396600
ABalaaapp:145,ABalaaapp,145,28222,3222,-996,-1010,3069,10.2,192,176,33,188799
ABalaaapp:146,ABalaaapp,146,29027,4027,154,133,3685,9.8,207,182,35,223645
ABalaaapp:147,ABalaaapp,147,28606,3606,-996,-990,2750,9.0,214,181,35,229020
ABalaaapp:148,ABalaaapp,148,28352,3352,-874,-888,3195,9.9,217,180,35,229991
ABalaaapp:149,ABalaaapp,149,28261,3261,-1265,-1230,3047,10.1,213,176,36,262921
ABalaaapp:150,ABalaaapp,150,28910,3910,-106,-180,3548,11.0,201,166,36,283323
ABalaaapp:151,ABalaaapp,151,28116,3116,-875,-901,2596,11.1,195,170,36,300436
ABalaaapp:152,ABalaaapp,152,27454,2454,-1480,-1528,1999,11.9,187,175,36,292730
ABalaaapp:153,ABalaaapp,153,28143,3143,-963,-992,2603,12.0,187,169,36,325266
ABalaaapp:154,ABalaaapp,154,28779,3779,-539,-648,3394,11.3,177,165,38,320598
ABalaaapp:155,ABalaaapp,155,29199,4199,507,474,3881,11.2,173,169,38,347643
ABalaaapp:156,ABalaaapp,156,28150,3150,-855,-917,2813,11.2,174,173,38,359683
ABalaaapp:157,ABalaaapp,157,28742,3742,-481,-565,3375,12.9,167,170,36,343004
ABalaaapp:158,ABalaaapp,158,28736,3736,-130,-139,3455,12.2,163,176,38,364120
ABalaaapp:159,ABalaaapp,159,27302,2302,-2022,-2118,1821,13.2,164,178,38,390751
ABalaaapp:160,ABalaaapp,160,28581,3581,35,-43,3402,13.3,170,163,38,378329
ABalaap:80,ABalaap,80,28330,3330,-220,-191,3322,21.2,173,237,51,513950
ABalaap:81,ABalaap,81,28647,3647,73,73,3647,22.9,178,256,50,502395
ABalaap:82,ABalaap,82,28620,3620,-246,-246,3620,23.8,180,251,49,429358
ABalaap:83,ABalaap,83,28609,3609,9,9,3609,23.2,186,249,51,464604
ABalaap:84,ABalaap,84,28269,3269,-224,-224,3269,23.3,193,253,51,457671
ABalaap:85,ABalaap,85,28085,3085,-620,-620,3085,24.0,194,254,51,552530
ABalaap:86,ABalaap,86,27841,2841,-760,-760,2841,23.1,190,256,49,527473
ABalaap:87,ABalaap,87,27794,2794,-1121,-1129,2794,22.2,186,257,53,681595
ABalaap:88,ABalaap,88,28283,3283,-101,-101,3283,23.9,169,269,48,639205
ABalaap:89,ABalaap,89,27834,2834,-828,-829,2834,23.1,164,267,51,715559
ABalaap:90,ABalaap,90,28055,3055,-635,-641,3055,22.2,163,271,50,717330
ABalaap:91,ABalaap,91,27793,2793,-990,-991,2793,23.1,177,254,50,676865
ABalaap:92,ABalaap,92,28121,3121,-488,-585,3114,23.0,188,250,48,633598
ABalaap:93,ABalaap,93,28249,3249,-712,-737,3244,22.2,182,249,50,700858
ABalaap:94,ABalaap,94,27927,2927,-755,-768,2927,23.9,178,245,49,636453
ABalaap:95,ABalaap,95,28303,3303,-346,-337,3296,23.1,182,251,52,787585
ABalaap:96,ABalaap,96,27879,2879,-841,-856,2879,22.2,182,248,50,742743
ABalaap:97,ABalaap,97,27988,2988,-705,-734,2982,22.0,189,243,50,757324
ABalaap:98,ABalaap,98,27729,2729,-1031,-1044,2727,21.1,189,239,52,843900
ABalaap:99,ABalaap,99,28127,3127,-410,-433,3122,21.9,189,237,50,760432
ABalaap:100,ABalaap,100,27402,2402,-1402,-1375,2402,20.9,189,235,50,754264
ABalaap:101,ABalaap,101,27743,2743,-745,-741,2741,20.0,199,227,50,735443
ABalaap:102,ABalaap,102,27521,2521,-1188,-1153,2517,20.9,200,226,49,664992
ABalaap:103,ABalaap,103,27531,2531,-1026,-1000,2526,20.1,212,222,52,823177
ABalaap:104,ABalaap,104,27175,2175,-1312,-1329,2166,20.1,201,234,52,807055
ABalaap:105,ABalaap,105,27783,2783,-855,-903,2769,19.1,210,239,51,778299
ABalaap:106,ABalaap,106,27855,2855,-384,-398,2839,18.2,223,237,49,653872
ABalaap:107,ABalaap,107,26852,1852,-1290,-1300,1643,18.1,233,244,46,608519
ABalaap:108,ABalaap,108,27109,2109,-1422,-1449,2053,17.1,235,250,43,449260
ABalaap:109,ABalaap,109,27655,2655,-614,-538,2614,16.1,242,239,39,341714
ABalaap:110,ABalaap,110,27916,2916,-951,-951,2913,17.1,237,249,34,283415
ABalaapa:111,ABalaapa,111,27737,2737,-796,-796,2724,18.2,226,238,34,218686
ABalaapa:112,ABalaapa,112,28334,3334,-318,-318,3331,18.2,220,246,34,167191
ABalaapa:113,ABalaapa,113,27469,2469,-523,-523,2455,19.0,217,239,40,254877
ABalaapa:114,ABalaapa,114,27666,2666,-429,-429,2652,19.0,224,231,40,259184
ABalaapa:115,ABalaapa,115,29007,4007,796,796,3999,19.0,219,227,40,258156
ABalaapa:116,ABalaapa,116,28256,3256,-6,-6,3228,19.0,217,224,40,272156
ABalaapa:117,ABalaapa,117,27463,2463,-765,-753,2424,18.9,221,218,40,274811
ABalaapa:118,ABalaapa,118,27443,2443,-983,-988,2298,18.0,225,209,42,312331
ABalaapa:119,ABalaapa,119,27798,2798,-521,-539,2690,17.9,216,206,40,303234
ABalaapa:120,ABalaapa,120,27305,2305,-841,-893,2096,18.0,219,204,40,303782
ABalaapa:121,ABalaapa,121,27080,2080,-1216,-1228,1861,18.0,213,198,40,304939
ABalaapa:122,ABalaapa,122,27561,2561,-977,-1094,2250,17.1,216,190,44,365267
ABalaapa:123,ABalaapa,123,27465,2465,-1071,-1104,2356,17.1,225,182,43,336133
ABalaapa:124,ABalaapa,124,27875,2875,-468,-510,2835,17.0,224,177,42,357420
ABalaapa:125,ABalaapa,125,28017,3017,-571,-538,2958,16.9,222,178,42,342721
ABalaapa:126,ABalaapa,126,28495,3495,-206,-273,3463,16.1,221,177,42,360034
ABalaapa:127,ABalaapa,127,27857,2857,-652,-626,2741,16.1,222,169,42,371751
ABalaapa:128,ABalaapa,128,27474,2474,-1230,-1270,2393,16.9,223,173,42,356126
ABalaapa:129,ABalaapa,129,26912,1912,-1956,-1950,1806,17.0,224,167,42,392662
ABalaapa:130,ABalaapa,130,27996,2996,-704,-681,2881,17.0,232,163,44,417859
ABalaapa:131,ABalaapa,131,27809,2809,-893,-909,2642,16.2,233,160,44,393380
ABalaapa:132,ABalaapa,132,27359,2359,-1182,-1216,2220,16.9,232,165,43,384306
ABalaapa:133,ABalaapa,133,27500,2500,-1088,-1114,2474,16.0,227,156,43,395865
ABalaapa:134,ABalaapa,134,27956,2956,-468,-557,2901,15.1,233,150,43,435242
ABalaapa:135,ABalaapa,135,27428,2428,-1302,-1374,2368,15.9,228,148,43,420176
ABalaapa:136,ABalaapa,136,28178,3178,-300,-349,3044,15.9,228,147,43,450998
ABalaapa:137,ABalaapa,137,27612,2612,-1101,-1247,2428,14.0,225,144,45,507329
ABalaapa:138,ABalaapa,138,27469,2469,-1188,-1319,2308,14.1,226,141,45,505722
ABalaapa:139,ABalaapa,139,27531,2531,-1173,-1253,2336,14.0,223,146,43,480484
ABalaapa:140,ABalaapa,140,27769,2769,-1195,-1207,2691,13.2,213,149,42,473465
ABalaapa:141,ABalaapa,141,27838,2838,-1187,-1194,2701,13.2,207,152,42,478143
